Symbol,Country,Name,NameAlt,MarketCap,MarketCapUSD,Industry,Sector,BoardLot,Exchange,,
HSBC,US,HSBC Holdings plc,HSBC Holdings plc,155240,155240,Savings Institutions,Finance,1,nyse,,
BMY,US,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,154900,154900,Major Pharmaceuticals,Health Care,1,nyse,,
NVO,US,Novo Nordisk A/S,Novo Nordisk A/S,147420,147420,Major Pharmaceuticals,Health Care,1,nyse,,
TSLA,US,"Tesla, Inc. ","Tesla, Inc. ",144920,144920,Auto Manufacturing,Capital Goods,1,nasdaq,,
BUD,US,Anheuser-Busch Inbev SA,Anheuser-Busch Inbev SA,144410,144410,Beverages (Production/Distribution),Consumer Non-Durables,1,nyse,,
PYPL,US,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",141350,141350,Business Services,Miscellaneous,1,nasdaq,,
ABBV,US,AbbVie Inc.,AbbVie Inc.,141010,141010,Major Pharmaceuticals,Health Care,1,nyse,,
COST,US,Costco Wholesale Corporation,Costco Wholesale Corporation,140570,140570,Department/Specialty Retail Stores,Consumer Services,1,nasdaq,,
PM,US,Philip Morris International Inc,Philip Morris International Inc,138200,138200,Farming/Seeds/Milling,Consumer Non-Durables,1,nyse,,
IBM,US,International Business Machines Corporation,International Business Machines Corporation,136660,136660,Computer Manufacturing,Technology,1,nyse,,
LLY,US,Eli Lilly and Company,Eli Lilly and Company,136150,136150,Major Pharmaceuticals,Health Care,1,nyse,,
ASML,US,ASML Holding N.V.,ASML Holding N.V.,135040,135040,Industrial Machinery/Components,Technology,1,nasdaq,,
ACN,US,Accenture plc,Accenture plc,135010,135010,Business Services,Miscellaneous,1,nyse,,
NEE,US,"NextEra Energy, Inc.","NextEra Energy, Inc.",134640,134640,Electric Utilities: Central,Public Utilities,1,nyse,,
TMO,US,Thermo Fisher Scientific Inc,Thermo Fisher Scientific Inc,134570,134570,Industrial Machinery/Components,Capital Goods,1,nyse,,
UTX,US,United Technologies Corporation,United Technologies Corporation,132440,132440,Aerospace,Capital Goods,1,nyse,,
AMGN,US,Amgen Inc.,Amgen Inc.,131820,131820,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,1,nasdaq,,
BHP,US,BHP Group Limited,BHP Group Limited,131510,131510,Precious Metals,Basic Industries,1,nyse,,
AZN,US,Astrazeneca PLC,Astrazeneca PLC,129460,129460,Major Pharmaceuticals,Health Care,1,nyse,,
AVGO,US,Broadcom Inc.,Broadcom Inc.,128870,128870,Semiconductors,Technology,1,nasdaq,,
HON,US,Honeywell International Inc.,Honeywell International Inc.,128700,128700,Aerospace,Capital Goods,1,nyse,,
UNP,US,Union Pacific Corporation,Union Pacific Corporation,127450,127450,Railroads,Transportation,1,nyse,,
TOT,US,Total S.A.,Total S.A.,127230,127230,Oil & Gas Production,Energy,1,nyse,,
SNY,US,Sanofi,Sanofi,125060,125060,Major Pharmaceuticals,Health Care,1,nasdaq,,
TXN,US,Texas Instruments Incorporated,Texas Instruments Incorporated,123780,123780,Semiconductors,Technology,1,nasdaq,,
LMT,US,Lockheed Martin Corporation,Lockheed Martin Corporation,122560,122560,Military/Government/Technical,Capital Goods,1,nyse,,
BP,US,BP p.l.c.,BP p.l.c.,122130,122130,Integrated oil Companies,Energy,1,nyse,,
LIN,US,Linde plc,Linde plc,118860,118860,Major Chemicals,Basic Industries,1,nyse,,
RY,US,Royal Bank Of Canada,Royal Bank Of Canada,116430,116430,Commercial Banks,Finance,1,nyse,,
AMT,US,American Tower Corporation (REIT),American Tower Corporation (REIT),113790,113790,Real Estate Investment Trusts,Consumer Services,1,nyse,,
DHR,US,Danaher Corporation,Danaher Corporation,113660,113660,Industrial Machinery/Components,Capital Goods,1,nyse,,
GE,US,General Electric Company,General Electric Company,113010,113010,Consumer Electronics/Appliances,Energy,1,nyse,,
CHTR,US,"Charter Communications, Inc.","Charter Communications, Inc.",112280,112280,Television Services,Consumer Services,1,nasdaq,,
BBL,US,BHP Group Plc,BHP Group Plc,111430,111430,Coal Mining,Energy,1,nyse,,
GSK,US,GlaxoSmithKline PLC,GlaxoSmithKline PLC,109810,109810,Major Pharmaceuticals,Health Care,1,nyse,,
HDB,US,HDFC Bank Limited,HDFC Bank Limited,109080,109080,Commercial Banks,Finance,1,nyse,,
AXP,US,American Express Company,American Express Company,108910,108910,Finance: Consumer Services,Finance,1,nyse,,
KOF,US,Coca Cola Femsa S.A.B. de C.V.,Coca Cola Femsa S.A.B. de C.V.,107780,107780,Beverages (Production/Distribution),Consumer Non-Durables,1,nyse,,
SBUX,US,Starbucks Corporation,Starbucks Corporation,105540,105540,Restaurants,Consumer Services,1,nasdaq,,
QCOM,US,QUALCOMM Incorporated,QUALCOMM Incorporated,102910,102910,Radio And Television Broadcasting And Communications Equipment,Technology,1,nasdaq,,
TD,US,Toronto Dominion Bank (The),Toronto Dominion Bank (The),102480,102480,Commercial Banks,Finance,1,nyse,,
BTI,US,British American Tobacco p.l.c.,British American Tobacco p.l.c.,101000,101000,Farming/Seeds/Milling,Consumer Non-Durables,1,nyse,,
LOW,US,"Lowe&#39;s Companies, Inc.","Lowe&#39;s Companies, Inc.",95630,95630,RETAIL: Building Materials,Consumer Services,1,nyse,,
PBR,US,Petroleo Brasileiro S.A.- Petrobras,Petroleo Brasileiro S.A.- Petrobras,95420,95420,Oil & Gas Production,Energy,1,nyse,,
FIS,US,"Fidelity National Information Services, Inc.","Fidelity National Information Services, Inc.",94850,94850,Business Services,Miscellaneous,1,nyse,,
DEO,US,Diageo plc,Diageo plc,93750,93750,Beverages (Production/Distribution),Consumer Non-Durables,1,nyse,,
CVS,US,CVS Health Corporation,CVS Health Corporation,93670,93670,Medical/Nursing Services,Health Care,1,nyse,,
MMM,US,3M Company,3M Company,91960,91960,Medical/Dental Instruments,Health Care,1,nyse,,
UPS,US,"United Parcel Service, Inc.","United Parcel Service, Inc.",90160,90160,Trucking Freight/Courier Services,Transportation,1,nyse,,
